Time,Channel A
(us),(mV)

-10.00399971,-1.71628900
-10.00199971,0.00000000
-9.99999971,1.71628900
-9.99799971,3.43873000
-9.99599971,3.43873000
-9.99399971,5.15501900
-9.99199971,6.87746000
-9.98999971,6.87746000
-9.98799971,8.59990100
-9.98599971,8.59990100
-9.98399971,10.31619000
-9.98199971,10.31619000
-9.97999971,12.03863000
-9.97799971,12.03863000
-9.97599971,13.75492000
-9.97399971,15.47736000
-9.97199971,15.47736000
-9.96999971,17.19980000
-9.96799971,18.91609000
-9.96599971,18.91609000
-9.96399971,20.63853000
-9.96199971,22.35482000
-9.95999971,24.07726000
-9.95799971,25.79970000
-9.95599971,27.51599000
-9.95399971,29.23843000
-9.95199971,30.95472000
-9.94999971,32.67717000
-9.94799971,34.39960000
-9.94599971,36.11589000
-9.94399971,36.11589000
-9.94199971,37.83833000
-9.93999971,39.55462000
-9.93799971,39.55462000
-9.93599971,41.27706000
-9.93399971,42.99950000
-9.93199971,42.99950000
-9.92999971,44.71579000
-9.92799971,44.71579000
-9.92599971,46.43824000
-9.92399971,46.43824000
-9.92199971,48.15453000
-9.91999971,48.15453000
-9.91799971,49.87696000
-9.91599971,49.87696000
-9.91399971,51.59941000
-9.91199971,51.59941000
-9.90999971,53.31570000
-9.90799971,55.03814000
-9.90599971,55.03814000
-9.90399971,56.75443000
-9.90199971,58.47686000
-9.89999971,58.47686000
-9.89799971,61.91560000
-9.89599971,61.91560000
-9.89399971,63.63803000
-9.89199971,65.35433000
-9.88999971,67.07677000
-9.88799971,68.79921000
-9.88599971,70.51550000
-9.88399971,72.23794000
-9.88199971,73.95423000
-9.87999971,73.95423000
-9.87799971,75.67667000
-9.87599971,77.39911000
-9.87399971,77.39911000
-9.87199971,79.11540000
-9.86999971,80.83784000
-9.86799971,80.83784000
-9.86599971,82.55412000
-9.86399971,82.55412000
-9.86199971,82.55412000
-9.85999971,82.55412000
-9.85799971,84.27657000
-9.85599971,84.27657000
-9.85399971,84.27657000
-9.85199971,85.99901000
-9.84999971,85.99901000
-9.84799971,87.71530000
-9.84599971,87.71530000
-9.84399971,87.71530000
-9.84199971,89.43774000
-9.83999971,91.15402000
-9.83799971,91.15402000
-9.83599971,92.87647000
-9.83399971,94.59892000
-9.83199971,96.31520000
-9.82999971,96.31520000
-9.82799971,99.75393000
-9.82599971,99.75393000
-9.82399971,101.47640000
-9.82199971,103.19880000
-9.81999971,104.91510000
-9.81799971,106.63750000
-9.81599971,106.63750000
-9.81399971,108.35380000
-9.81199971,108.35380000
-9.80999971,110.07630000
-9.80799971,111.79870000
-9.80599971,111.79870000
-9.80399971,113.51500000
-9.80199971,113.51500000
-9.79999971,113.51500000
-9.79799971,113.51500000
-9.79599971,113.51500000
-9.79399971,115.23740000
-9.79199971,115.23740000
-9.78999971,115.23740000
-9.78799971,115.23740000
-9.78599971,116.95370000
-9.78399971,116.95370000
-9.78199971,116.95370000
-9.77999971,116.95370000
-9.77799971,116.95370000
-9.77599971,118.67620000
-9.77399971,120.39860000
-9.77199971,122.11490000
-9.76999971,122.11490000
-9.76799971,123.83730000
-9.76599971,125.55360000
-9.76399971,125.55360000
-9.76199971,127.27610000
-9.75999971,128.99850000
-9.75799971,130.71480000
-9.75599971,130.71480000
-9.75399971,132.43730000
-9.75199971,134.15350000
-9.74999971,134.15350000
-9.74799971,134.15350000
-9.74599971,135.87600000
-9.74399971,135.87600000
-9.74199971,137.59840000
-9.73999971,137.59840000
-9.73799971,137.59840000
-9.73599971,137.59840000
-9.73399971,139.31470000
-9.73199971,137.59840000
-9.72999971,137.59840000
-9.72799971,139.31470000
-9.72599971,139.31470000
-9.72399971,139.31470000
-9.72199971,139.31470000
-9.71999971,139.31470000
-9.71799971,139.31470000
-9.71599971,139.31470000
-9.71399971,141.03710000
-9.71199971,141.03710000
-9.70999971,141.03710000
-9.70799971,142.75340000
-9.70599971,142.75340000
-9.70399971,144.47590000
-9.70199971,144.47590000
-9.69999971,146.19830000
-9.69799971,147.91460000
-9.69599971,149.63710000
-9.69399971,149.63710000
-9.69199971,149.63710000
-9.68999971,151.35330000
-9.68799971,151.35330000
-9.68599971,153.07580000
-9.68399971,153.07580000
-9.68199971,153.07580000
-9.67999971,153.07580000
-9.67799971,153.07580000
-9.67599971,153.07580000
-9.67399971,153.07580000
-9.67199971,153.07580000
-9.66999971,153.07580000
-9.66799971,153.07580000
-9.66599971,153.07580000
-9.66399971,153.07580000
-9.66199971,153.07580000
-9.65999971,153.07580000
-9.65799971,153.07580000
-9.65599971,153.07580000
-9.65399971,153.07580000
-9.65199972,154.79820000
-9.64999972,154.79820000
-9.64799972,154.79820000
-9.64599972,154.79820000
-9.64399972,156.51450000
-9.64199972,156.51450000
-9.63999972,158.23690000
-9.63799972,158.23690000
-9.63599972,158.23690000
-9.63399972,159.95320000
-9.63199972,159.95320000
-9.62999972,159.95320000
-9.62799972,161.67570000
-9.62599972,159.95320000
-9.62399972,161.67570000
-9.62199972,159.95320000
-9.61999972,161.67570000
-9.61799972,161.67570000
-9.61599972,161.67570000
-9.61399972,161.67570000
-9.61199972,159.95320000
-9.60999972,159.95320000
-9.60799972,159.95320000
-9.60599972,159.95320000
-9.60399972,159.95320000
-9.60199972,158.23690000
-9.59999972,159.95320000
-9.59799972,158.23690000
-9.59599972,158.23690000
-9.59399972,158.23690000
-9.59199972,158.23690000
-9.58999972,158.23690000
-9.58799972,159.95320000
-9.58599972,159.95320000
-9.58399972,159.95320000
-9.58199972,159.95320000
-9.57999972,161.67570000
-9.57799972,161.67570000
-9.57599972,161.67570000
-9.57399972,161.67570000
-9.57199972,161.67570000
-9.56999972,161.67570000
-9.56799972,161.67570000
-9.56599972,161.67570000
-9.56399972,161.67570000
-9.56199972,161.67570000
-9.55999972,161.67570000
-9.55799972,159.95320000
-9.55599972,159.95320000
-9.55399972,159.95320000
-9.55199972,159.95320000
-9.54999972,159.95320000
-9.54799972,158.23690000
-9.54599972,158.23690000
-9.54399972,158.23690000
-9.54199972,158.23690000
-9.53999972,156.51450000
-9.53799972,156.51450000
-9.53599972,156.51450000
-9.53399972,156.51450000
-9.53199972,156.51450000
-9.52999972,156.51450000
-9.52799972,156.51450000
-9.52599972,154.79820000
-9.52399972,154.79820000
-9.52199972,154.79820000
-9.51999972,156.51450000
-9.51799972,156.51450000
-9.51599972,156.51450000
-9.51399972,156.51450000
-9.51199972,156.51450000
-9.50999972,156.51450000
-9.50799972,156.51450000
-9.50599972,156.51450000
-9.50399972,156.51450000
-9.50199972,154.79820000
-9.49999972,154.79820000
-9.49799972,154.79820000
-9.49599972,153.07580000
-9.49399972,153.07580000
-9.49199972,153.07580000
-9.48999972,151.35330000
-9.48799972,151.35330000
-9.48599972,149.63710000
-9.48399972,149.63710000
-9.48199972,147.91460000
-9.47999972,147.91460000
-9.47799972,146.19830000
-9.47599972,146.19830000
-9.47399972,146.19830000
-9.47199972,144.47590000
-9.46999972,144.47590000
-9.46799972,144.47590000
-9.46599972,144.47590000
-9.46399972,142.75340000
-9.46199972,142.75340000
-9.45999972,144.47590000
-9.45799972,142.75340000
-9.45599972,144.47590000
-9.45399972,142.75340000
-9.45199972,142.75340000
-9.44999972,144.47590000
-9.44799972,142.75340000
-9.44599972,142.75340000
-9.44399972,142.75340000
-9.44199972,142.75340000
-9.43999972,142.75340000
-9.43799972,141.03710000
-9.43599972,141.03710000
-9.43399972,139.31470000
-9.43199972,139.31470000
-9.42999972,137.59840000
-9.42799972,137.59840000
-9.42599972,135.87600000
-9.42399972,134.15350000
-9.42199972,134.15350000
-9.41999972,132.43730000
-9.41799972,130.71480000
-9.41599972,130.71480000
-9.41399972,128.99850000
-9.41199972,128.99850000
-9.40999972,127.27610000
-9.40799972,127.27610000
-9.40599972,125.55360000
-9.40399972,125.55360000
-9.40199972,125.55360000
-9.39999972,125.55360000
-9.39799972,125.55360000
-9.39599972,125.55360000
-9.39399972,125.55360000
-9.39199972,125.55360000
-9.38999972,125.55360000
-9.38799972,125.55360000
-9.38599972,123.83730000
-9.38399972,123.83730000
-9.38199972,123.83730000
-9.37999972,123.83730000
-9.37799972,122.11490000
-9.37599972,122.11490000
-9.37399972,120.39860000
-9.37199972,120.39860000
-9.36999972,118.67620000
-9.36799972,118.67620000
-9.36599972,116.95370000
-9.36399972,115.23740000
-9.36199972,113.51500000
-9.35999972,113.51500000
-9.35799972,111.79870000
-9.35599972,110.07630000
-9.35399972,108.35380000
-9.35199972,108.35380000
-9.34999972,106.63750000
-9.34799972,104.91510000
-9.34599972,103.19880000
-9.34399972,103.19880000
-9.34199972,103.19880000
-9.33999972,103.19880000
-9.33799972,103.19880000
-9.33599972,101.47640000
-9.33399972,101.47640000
-9.33199972,101.47640000
-9.32999972,101.47640000
-9.32799972,101.47640000
-9.32599972,99.75393000
-9.32399972,99.75393000
-9.32199972,99.75393000
-9.31999972,99.75393000
-9.31799972,98.03764000
-9.31599972,98.03764000
-9.31399972,96.31520000
-9.31199972,94.59892000
-9.30999972,94.59892000
-9.30799972,92.87647000
-9.30599972,91.15402000
-9.30399972,91.15402000
-9.30199972,89.43774000
-9.29999972,87.71530000
-9.29799973,85.99901000
-9.29599973,84.27657000
-9.29399973,84.27657000
-9.29199973,82.55412000
-9.28999973,80.83784000
-9.28799973,80.83784000
-9.28599973,79.11540000
-9.28399973,77.39911000
-9.28199973,75.67667000
-9.27999973,75.67667000
-9.27799973,75.67667000
-9.27599973,73.95423000
-9.27399973,73.95423000
-9.27199973,73.95423000
-9.26999973,72.23794000
-9.26799973,72.23794000
-9.26599973,70.51550000
-9.26399973,70.51550000
-9.26199973,70.51550000
-9.25999973,68.79921000
-9.25799973,68.79921000
-9.25599973,67.07677000
-9.25399973,67.07677000
-9.25199973,65.35433000
-9.24999973,65.35433000
-9.24799973,63.63803000
-9.24599973,61.91560000
-9.24399973,61.91560000
-9.24199973,60.19931000
-9.23999973,58.47686000
-9.23799973,56.75443000
-9.23599973,55.03814000
-9.23399973,53.31570000
-9.23199973,51.59941000
-9.22999973,51.59941000
-9.22799973,49.87696000
-9.22599973,48.15453000
-9.22399973,46.43824000
-9.22199973,44.71579000
-9.21999973,42.99950000
-9.21799973,42.99950000
-9.21599973,41.27706000
-9.21399973,39.55462000
-9.21199973,39.55462000
-9.20999973,37.83833000
-9.20799973,37.83833000
-9.20599973,36.11589000
-9.20399973,36.11589000
-9.20199973,36.11589000
-9.19999973,34.39960000
-9.19799973,34.39960000
-9.19599973,32.67717000
-9.19399973,32.67717000
-9.19199973,30.95472000
-9.18999973,29.23843000
-9.18799973,29.23843000
-9.18599973,27.51599000
-9.18399973,25.79970000
-9.18199973,24.07726000
-9.17999973,24.07726000
-9.17799973,22.35482000
-9.17599973,20.63853000
-9.17399973,18.91609000
-9.17199973,17.19980000
-9.16999973,15.47736000
-9.16799973,13.75492000
-9.16599973,12.03863000
-9.16399973,10.31619000
-9.16199973,8.59990100
-9.15999973,6.87746000
-9.15799973,5.15501900
-9.15599973,5.15501900
-9.15399973,3.43873000
-9.15199973,1.71628900
-9.14999973,1.71628900
-9.14799973,0.00000000
-9.14599973,-1.71628900
-9.14399973,-1.71628900
-9.14199973,-3.43873000
-9.13999973,-3.43873000
-9.13799973,-5.15501900
-9.13599973,-5.15501900
-9.13399973,-6.87746000
-9.13199973,-6.87746000
-9.12999973,-8.59990100
-9.12799973,-10.31619000
-9.12599973,-10.31619000
-9.12399973,-12.03863000
-9.12199973,-13.75492000
-9.11999973,-15.47736000
-9.11799973,-17.19980000
-9.11599973,-18.91609000
-9.11399973,-20.63853000
-9.11199973,-22.35482000
-9.10999973,-24.07726000
-9.10799973,-25.79970000
-9.10599973,-27.51599000
-9.10399973,-29.23843000
-9.10199973,-30.95472000
-9.09999973,-32.67717000
-9.09799973,-34.39960000
-9.09599973,-36.11589000
-9.09399973,-36.11589000
-9.09199973,-37.83833000
-9.08999973,-39.55462000
-9.08799973,-39.55462000
-9.08599973,-41.27706000
-9.08399973,-41.27706000
-9.08199973,-42.99950000
-9.07999973,-42.99950000
-9.07799973,-44.71579000
-9.07599973,-44.71579000
-9.07399973,-46.43824000
-9.07199973,-46.43824000
-9.06999973,-48.15453000
-9.06799973,-48.15453000
-9.06599973,-49.87696000
-9.06399973,-51.59941000
-9.06199973,-53.31570000
-9.05999973,-55.03814000
-9.05799973,-56.75443000
-9.05599973,-58.47686000
-9.05399973,-58.47686000
-9.05199973,-60.19931000
-9.04999973,-63.63803000
-9.04799973,-63.63803000
-9.04599973,-67.07677000
-9.04399973,-68.79921000
-9.04199973,-70.51550000
-9.03999973,-72.23794000
-9.03799973,-72.23794000
-9.03599973,-73.95423000
-9.03399973,-75.67667000
-9.03199973,-77.39911000
-9.02999973,-77.39911000
-9.02799973,-79.11540000
-9.02599973,-79.11540000
-9.02399973,-80.83784000
-9.02199973,-80.83784000
-9.01999973,-82.55412000
-9.01799973,-82.55412000
-9.01599973,-82.55412000
-9.01399973,-84.27657000
-9.01199973,-84.27657000
-9.00999973,-85.99901000
-9.00799973,-85.99901000
-9.00599973,-87.71530000
